Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,Solomon's Death,1 Kings 11:41-43[[@Bible:1 Kings 11:41-43]],1 Kings 11:41-43
,Israel Rebels Against Rehoboam,1 Kings 12:1-24[[@Bible:1 Kings 12:1-24]],1 Kings 12:1-24
,Golden Calves at Bethel and Dan,1 Kings 12:25-33[[@Bible:1 Kings 12:25-33]],1 Kings 12:25-33
,The Man of God From Judah,1 Kings 13:1-34[[@Bible:1 Kings 13:1-34]],1 Kings 13:1-34
,Ahijah's Prophecy Against Jeroboam,1 Kings 14:1-20[[@Bible:1 Kings 14:1-20]],1 Kings 14:1-20
,Rehoboam King of Judah,1 Kings 14:21-31[[@Bible:1 Kings 14:21-31]],1 Kings 14:21-31
,Abijah King of Judah,1 Kings 15:1-8[[@Bible:1 Kings 15:1-8]],1 Kings 15:1-8
,Asa King of Judah,1 Kings 15:9-24[[@Bible:1 Kings 15:9-24]],1 Kings 15:9-24
,Nadab King of Israel,1 Kings 15:25-32[[@Bible:1 Kings 15:25-32]],1 Kings 15:25-32
,Baasha King of Israel,1 Kings 15:33-16:7[[@Bible:1 Kings 15:33-16:7]],1 Kings 15:33-16:7
,Elah King of Israel,1 Kings 16:8-14[[@Bible:1 Kings 16:8-14]],1 Kings 16:8-14
,Zimri King of Israel,1 Kings 16:15-20[[@Bible:1 Kings 16:15-20]],1 Kings 16:15-20
,Omri King of Israel,1 Kings 16:21-28[[@Bible:1 Kings 16:21-28]],1 Kings 16:21-28
,Ahab Becomes King of Israel,1 Kings 16:29-34[[@Bible:1 Kings 16:29-34]],1 Kings 16:29-34
,Elijah Fed by Ravens,1 Kings 17:1-6[[@Bible:1 Kings 17:1-6]],1 Kings 17:1-6
,The Widow at Zarephath,1 Kings 17:7-24[[@Bible:1 Kings 17:7-24]],1 Kings 17:7-24
,Elijah and Obadiah,1 Kings 18:1-15[[@Bible:1 Kings 18:1-15]],1 Kings 18:1-15
,Elijah on Mount Carmel,1 Kings 18:16-46[[@Bible:1 Kings 18:16-46]],1 Kings 18:16-46
,Elijah Flees to Horeb,1 Kings 19:1-9[[@Bible:1 Kings 19:1-9]],1 Kings 19:1-9
,The LORD Appears to Elijah,1 Kings 19:10-18[[@Bible:1 Kings 19:10-18]],1 Kings 19:10-18
,The Call of Elisha,1 Kings 19:19-21[[@Bible:1 Kings 19:19-21]],1 Kings 19:19-21
,Ben-Hadad Attacks Samaria,1 Kings 20:1-12[[@Bible:1 Kings 20:1-12]],1 Kings 20:1-12
,Ahab Defeats Ben-Hadad,1 Kings 20:13-34[[@Bible:1 Kings 20:13-34]],1 Kings 20:13-34
,A Prophet Condemns Ahab,1 Kings 20:35-43[[@Bible:1 Kings 20:35-43]],1 Kings 20:35-43
,Naboth's Vineyard,1 Kings 21:1-29[[@Bible:1 Kings 21:1-29]],1 Kings 21:1-29
,Micaiah Prophesies Against Ahab,1 Kings 22:1-28[[@Bible:1 Kings 22:1-28]],1 Kings 22:1-28
,Ahab Killed at Ramoth Gilead,1 Kings 22:29-40[[@Bible:1 Kings 22:29-40]],1 Kings 22:29-40
,Jehoshaphat King of Judah,1 Kings 22:41-50[[@Bible:1 Kings 22:41-50]],1 Kings 22:41-50
,Ahaziah King of Israel,1 Kings 22:51-53[[@Bible:1 Kings 22:51-53]],1 Kings 22:51-53
2 Kings,,,
,The Lord 's Judgment on Ahaziah,2 Kings 1:1-18[[@Bible:2 Kings 1:1-18]],2 Kings 1:1-18
,Elijah Taken Up to Heaven,2 Kings 2:1-18[[@Bible:2 Kings 2:1-18]],2 Kings 2:1-18
,Healing of the Water,2 Kings 2:19-22[[@Bible:2 Kings 2:19-22]],2 Kings 2:19-22
,Elisha Is Jeered,2 Kings 2:23-25[[@Bible:2 Kings 2:23-25]],2 Kings 2:23-25
,Moab Revolts,2 Kings 3:1-27[[@Bible:2 Kings 3:1-27]],2 Kings 3:1-27
,The Widow's Oil,2 Kings 4:1-7[[@Bible:2 Kings 4:1-7]],2 Kings 4:1-7
,The Shunammite's Son Restored to Life,2 Kings 4:8-37[[@Bible:2 Kings 4:8-37]],2 Kings 4:8-37
,Death in the Pot,2 Kings 4:38-41[[@Bible:2 Kings 4:38-41]],2 Kings 4:38-41
,Feeding of a Hundred,2 Kings 4:42-44[[@Bible:2 Kings 4:42-44]],2 Kings 4:42-44
,Naaman Healed of Leprosy,2 Kings 5:1-27[[@Bible:2 Kings 5:1-27]],2 Kings 5:1-27
,An Axhead Floats,2 Kings 6:1-7[[@Bible:2 Kings 6:1-7]],2 Kings 6:1-7
,Elisha Traps Blinded Arameans,2 Kings 6:8-23[[@Bible:2 Kings 6:8-23]],2 Kings 6:8-23
,Famine in Besieged Samaria,2 Kings 6:24-7:2[[@Bible:2 Kings 6:24-7:2]],2 Kings 6:24-7:2
,The Siege Lifted,2 Kings 7:3-20[[@Bible:2 Kings 7:3-20]],2 Kings 7:3-20
,The Shunammite's Land Restored,2 Kings 8:1-6[[@Bible:2 Kings 8:1-6]],2 Kings 8:1-6
,Hazael Murders Ben-Hadad,2 Kings 8:7-15[[@Bible:2 Kings 8:7-15]],2 Kings 8:7-15
,Jehoram King of Judah,2 Kings 8:16-24[[@Bible:2 Kings 8:16-24]],2 Kings 8:16-24
,Ahaziah King of Judah,2 Kings 8:25-29[[@Bible:2 Kings 8:25-29]],2 Kings 8:25-29
,Jehu Anointed King of Israel,2 Kings 9:1-13[[@Bible:2 Kings 9:1-13]],2 Kings 9:1-13
,Jehu Kills Joram and Ahaziah,2 Kings 9:14-29[[@Bible:2 Kings 9:14-29]],2 Kings 9:14-29
,Jezebel Killed,2 Kings 9:30-37[[@Bible:2 Kings 9:30-37]],2 Kings 9:30-37
,Ahab's Family Killed,2 Kings 10:1-17[[@Bible:2 Kings 10:1-17]],2 Kings 10:1-17
,Ministers of Baal Killed,2 Kings 10:18-36[[@Bible:2 Kings 10:18-36]],2 Kings 10:18-36
,Athaliah and Joash,2 Kings 11:1-21[[@Bible:2 Kings 11:1-21]],2 Kings 11:1-21
,Joash Repairs the Temple,2 Kings 12:1-21[[@Bible:2 Kings 12:1-21]],2 Kings 12:1-21
,Jehoahaz King of Israel,2 Kings 13:1-9[[@Bible:2 Kings 13:1-9]],2 Kings 13:1-9
,Jehoash King of Israel,2 Kings 13:10-25[[@Bible:2 Kings 13:10-25]],2 Kings 13:10-25
,Amaziah King of Judah,2 Kings 14:1-22[[@Bible:2 Kings 14:1-22]],2 Kings 14:1-22
,Jeroboam II King of Israel,2 Kings 14:23-29[[@Bible:2 Kings 14:23-29]],2 Kings 14:23-29
,Azariah King of Judah,2 Kings 15:1-7[[@Bible:2 Kings 15:1-7]],2 Kings 15:1-7
,Zechariah King of Israel,2 Kings 15:8-12[[@Bible:2 Kings 15:8-12]],2 Kings 15:8-12
,Shallum King of Israel,2 Kings 15:13-16[[@Bible:2 Kings 15:13-16]],2 Kings 15:13-16
,Menahem King of Israel,2 Kings 15:17-22[[@Bible:2 Kings 15:17-22]],2 Kings 15:17-22
,Pekahiah King of Israel,2 Kings 15:23-26[[@Bible:2 Kings 15:23-26]],2 Kings 15:23-26
,Pekah King of Israel,2 Kings 15:27-31[[@Bible:2 Kings 15:27-31]],2 Kings 15:27-31
,Jotham King of Judah,2 Kings 15:32-38[[@Bible:2 Kings 15:32-38]],2 Kings 15:32-38
,Ahaz King of Judah,2 Kings 16:1-20[[@Bible:2 Kings 16:1-20]],2 Kings 16:1-20
,Hoshea Last King of Israel,2 Kings 17:1-6[[@Bible:2 Kings 17:1-6]],2 Kings 17:1-6
,Israel Exiled Because of Sin,2 Kings 17:7-23[[@Bible:2 Kings 17:7-23]],2 Kings 17:7-23
,Samaria Resettled,2 Kings 17:24-41[[@Bible:2 Kings 17:24-41]],2 Kings 17:24-41
,Hezekiah King of Judah,2 Kings 18:1-16[[@Bible:2 Kings 18:1-16]],2 Kings 18:1-16
,Sennacherib Threatens Jerusalem,2 Kings 18:17-37[[@Bible:2 Kings 18:17-37]],2 Kings 18:17-37
,Jerusalem's Deliverance Foretold,2 Kings 19:1-13[[@Bible:2 Kings 19:1-13]],2 Kings 19:1-13
,Hezekiah's Prayer,2 Kings 19:14-19[[@Bible:2 Kings 19:14-19]],2 Kings 19:14-19
,Isaiah Prophesies Sennacherib's Fall,2 Kings 19:20-37[[@Bible:2 Kings 19:20-37]],2 Kings 19:20-37
,Hezekiah's Illness,2 Kings 20:1-11[[@Bible:2 Kings 20:1-11]],2 Kings 20:1-11
,Envoys From Babylon,2 Kings 20:12-21[[@Bible:2 Kings 20:12-21]],2 Kings 20:12-21
,Manasseh King of Judah,2 Kings 21:1-18[[@Bible:2 Kings 21:1-18]],2 Kings 21:1-18
,Amon King of Judah,2 Kings 21:19-26[[@Bible:2 Kings 21:19-26]],2 Kings 21:19-26
,The Book of the Law Found,2 Kings 22:1-20[[@Bible:2 Kings 22:1-20]],2 Kings 22:1-20
,Josiah Renews the Covenant,2 Kings 23:1-30[[@Bible:2 Kings 23:1-30]],2 Kings 23:1-30
,Jehoahaz King of Judah,2 Kings 23:31-35[[@Bible:2 Kings 23:31-35]],2 Kings 23:31-35
,Jehoiakim King of Judah,2 Kings 23:36-24:7[[@Bible:2 Kings 23:36-24:7]],2 Kings 23:36-24:7
,Jehoiachin King of Judah,2 Kings 24:8-17[[@Bible:2 Kings 24:8-17]],2 Kings 24:8-17
,Zedekiah King of Judah,2 Kings 24:18-19[[@Bible:2 Kings 24:18-19]],2 Kings 24:18-19
,The Fall of Jerusalem,2 Kings 24:20-25:26[[@Bible:2 Kings 24:20-25:26]],2 Kings 24:20-25:26
,Jehoiachin Released,2 Kings 25:27-30[[@Bible:2 Kings 25:27-30]],2 Kings 25:27-30
1 Chronicles,,,
,Historical Records From Adam to Abraham To Noah's Sons,1 Chronicles 1:1-27[[@Bible:1 Chronicles 1:1-27]],1 Chronicles 1:1-27
,The Family of Abraham,1 Chronicles 1:28-34[[@Bible:1 Chronicles 1:28-34]],1 Chronicles 1:28-34
,Esau's Sons,1 Chronicles 1:35-54[[@Bible:1 Chronicles 1:35-54]],1 Chronicles 1:35-54
,Israel's Sons,1 Chronicles 2:1-2[[@Bible:1 Chronicles 2:1-2]],1 Chronicles 2:1-2
,Judah To Hezron's Sons,1 Chronicles 2:3-55[[@Bible:1 Chronicles 2:3-55]],1 Chronicles 2:3-55
,The Sons of David,1 Chronicles 3:1-24[[@Bible:1 Chronicles 3:1-24]],1 Chronicles 3:1-24
,Other Clans of Judah,1 Chronicles 4:1-23[[@Bible:1 Chronicles 4:1-23]],1 Chronicles 4:1-23
,Simeon,1 Chronicles 4:24-43[[@Bible:1 Chronicles 4:24-43]],1 Chronicles 4:24-43
,Reuben,1 Chronicles 5:1-10[[@Bible:1 Chronicles 5:1-10]],1 Chronicles 5:1-10
,Gad,1 Chronicles 5:11-22[[@Bible:1 Chronicles 5:11-22]],1 Chronicles 5:11-22
,The Half-Tribe of Manasseh,1 Chronicles 5:23-26[[@Bible:1 Chronicles 5:23-26]],1 Chronicles 5:23-26
,Levi,1 Chronicles 6:1-81[[@Bible:1 Chronicles 6:1-81]],1 Chronicles 6:1-81
,Issachar,1 Chronicles 7:1-5[[@Bible:1 Chronicles 7:1-5]],1 Chronicles 7:1-5
,Benjamin,1 Chronicles 7:6-12[[@Bible:1 Chronicles 7:6-12]],1 Chronicles 7:6-12
,Naphtali,1 Chronicles 7:13[[@Bible:1 Chronicles 7:13]],1 Chronicles 7:13
,Manasseh,1 Chronicles 7:14-19[[@Bible:1 Chronicles 7:14-19]],1 Chronicles 7:14-19
,Ephraim,1 Chronicles 7:20-29[[@Bible:1 Chronicles 7:20-29]],1 Chronicles 7:20-29
,Asher,1 Chronicles 7:30-40[[@Bible:1 Chronicles 7:30-40]],1 Chronicles 7:30-40
,The Genealogy of Saul the Benjamite,1 Chronicles 8:1-9:1[[@Bible:1 Chronicles 8:1-9:1]],1 Chronicles 8:1-9:1
,The People in Jerusalem,1 Chronicles 9:2-34[[@Bible:1 Chronicles 9:2-34]],1 Chronicles 9:2-34
,The Genealogy of Saul,1 Chronicles 9:35-44[[@Bible:1 Chronicles 9:35-44]],1 Chronicles 9:35-44
,Saul Takes His Life,1 Chronicles 10:1-14[[@Bible:1 Chronicles 10:1-14]],1 Chronicles 10:1-14
,David Becomes King Over Israel,1 Chronicles 11:1-3[[@Bible:1 Chronicles 11:1-3]],1 Chronicles 11:1-3
,David Conquers Jerusalem,1 Chronicles 11:4-9[[@Bible:1 Chronicles 11:4-9]],1 Chronicles 11:4-9
,David's Mighty Men,1 Chronicles 11:10-47[[@Bible:1 Chronicles 11:10-47]],1 Chronicles 11:10-47
,Warriors Join David,1 Chronicles 12:1-22[[@Bible:1 Chronicles 12:1-22]],1 Chronicles 12:1-22
,Others Join David at Hebron,1 Chronicles 12:23-40[[@Bible:1 Chronicles 12:23-40]],1 Chronicles 12:23-40
,Bringing Back the Ark,1 Chronicles 13:1-14[[@Bible:1 Chronicles 13:1-14]],1 Chronicles 13:1-14
,David's House and Family,1 Chronicles 14:1-7[[@Bible:1 Chronicles 14:1-7]],1 Chronicles 14:1-7
,David Defeats the Philistines,1 Chronicles 14:8-17[[@Bible:1 Chronicles 14:8-17]],1 Chronicles 14:8-17
,The Ark Brought to Jerusalem,1 Chronicles 15:1-16:6[[@Bible:1 Chronicles 15:1-16:6]],1 Chronicles 15:1-16:6
,David's Psalm of Thanks,1 Chronicles 16:7-43[[@Bible:1 Chronicles 16:7-43]],1 Chronicles 16:7-43
,God's Promise to David,1 Chronicles 17:1-15[[@Bible:1 Chronicles 17:1-15]],1 Chronicles 17:1-15
,David's Prayer,1 Chronicles 17:16-27[[@Bible:1 Chronicles 17:16-27]],1 Chronicles 17:16-27
,David's Victories,1 Chronicles 18:1-13[[@Bible:1 Chronicles 18:1-13]],1 Chronicles 18:1-13
,David's Officials,1 Chronicles 18:14-17[[@Bible:1 Chronicles 18:14-17]],1 Chronicles 18:14-17
,The Battle Against the Ammonites,1 Chronicles 19:1-19[[@Bible:1 Chronicles 19:1-19]],1 Chronicles 19:1-19
,The Capture of Rabbah,1 Chronicles 20:1-3[[@Bible:1 Chronicles 20:1-3]],1 Chronicles 20:1-3
,War With the Philistines,1 Chronicles 20:4-8[[@Bible:1 Chronicles 20:4-8]],1 Chronicles 20:4-8
,David Numbers the Fighting Men,1 Chronicles 21:1-22:1[[@Bible:1 Chronicles 21:1-22:1]],1 Chronicles 21:1-22:1
,Preparations for the Temple,1 Chronicles 22:2-19[[@Bible:1 Chronicles 22:2-19]],1 Chronicles 22:2-19
,The Levites,1 Chronicles 23:1-6[[@Bible:1 Chronicles 23:1-6]],1 Chronicles 23:1-6
,Gershonites,1 Chronicles 23:7-11[[@Bible:1 Chronicles 23:7-11]],1 Chronicles 23:7-11
,Kohathites,1 Chronicles 23:12-20[[@Bible:1 Chronicles 23:12-20]],1 Chronicles 23:12-20
,Merarites,1 Chronicles 23:21-32[[@Bible:1 Chronicles 23:21-32]],1 Chronicles 23:21-32
,The Divisions of Priests,1 Chronicles 24:1-19[[@Bible:1 Chronicles 24:1-19]],1 Chronicles 24:1-19
,The Rest of the Levites,1 Chronicles 24:20-31[[@Bible:1 Chronicles 24:20-31]],1 Chronicles 24:20-31
,The Singers,1 Chronicles 25:1-31[[@Bible:1 Chronicles 25:1-31]],1 Chronicles 25:1-31
,The Gatekeepers,1 Chronicles 26:1-19[[@Bible:1 Chronicles 26:1-19]],1 Chronicles 26:1-19
,The Treasurers and Other Officials,1 Chronicles 26:20-32[[@Bible:1 Chronicles 26:20-32]],1 Chronicles 26:20-32
,Army Divisions,1 Chronicles 27:1-15[[@Bible:1 Chronicles 27:1-15]],1 Chronicles 27:1-15
,Officers of the Tribes,1 Chronicles 27:16-24[[@Bible:1 Chronicles 27:16-24]],1 Chronicles 27:16-24
,The King's Overseers,1 Chronicles 27:25-34[[@Bible:1 Chronicles 27:25-34]],1 Chronicles 27:25-34
,David's Plans for the Temple,1 Chronicles 28:1-21[[@Bible:1 Chronicles 28:1-21]],1 Chronicles 28:1-21
,Gifts for Building the Temple,1 Chronicles 29:1-9[[@Bible:1 Chronicles 29:1-9]],1 Chronicles 29:1-9
,David's Prayer,1 Chronicles 29:10-20[[@Bible:1 Chronicles 29:10-20]],1 Chronicles 29:10-20
,Solomon Acknowledged as King,1 Chronicles 29:21-25[[@Bible:1 Chronicles 29:21-25]],1 Chronicles 29:21-25
,The Death of David,1 Chronicles 29:26-30[[@Bible:1 Chronicles 29:26-30]],1 Chronicles 29:26-30
2 Chronicles,,,
,Solomon Asks for Wisdom,2 Chronicles 1:1-17[[@Bible:2 Chronicles 1:1-17]],2 Chronicles 1:1-17
,Preparations for Building the Temple,2 Chronicles 2:1-18[[@Bible:2 Chronicles 2:1-18]],2 Chronicles 2:1-18
,Solomon Builds the Temple,2 Chronicles 3:1-17[[@Bible:2 Chronicles 3:1-17]],2 Chronicles 3:1-17
,The Temple's Furnishings,2 Chronicles 4:1-5:1[[@Bible:2 Chronicles 4:1-5:1]],2 Chronicles 4:1-5:1
,The Ark Brought to the Temple,2 Chronicles 5:2-6:11[[@Bible:2 Chronicles 5:2-6:11]],2 Chronicles 5:2-6:11
,Solomon's Prayer of Dedication,2 Chronicles 6:12-42[[@Bible:2 Chronicles 6:12-42]],2 Chronicles 6:12-42
,The Dedication of the Temple,2 Chronicles 7:1-10[[@Bible:2 Chronicles 7:1-10]],2 Chronicles 7:1-10
,The LORD Appears to Solomon,2 Chronicles 7:11-22[[@Bible:2 Chronicles 7:11-22]],2 Chronicles 7:11-22
,Solomon's Other Activities,2 Chronicles 8:1-18[[@Bible:2 Chronicles 8:1-18]],2 Chronicles 8:1-18
,The Queen of Sheba Visits Solomon,2 Chronicles 9:1-12[[@Bible:2 Chronicles 9:1-12]],2 Chronicles 9:1-12
,Solomon's Splendor,2 Chronicles 9:13-28[[@Bible:2 Chronicles 9:13-28]],2 Chronicles 9:13-28
,Solomon's Death,2 Chronicles 9:29-31[[@Bible:2 Chronicles 9:29-31]],2 Chronicles 9:29-31
,Israel Rebels Against Rehoboam,2 Chronicles 10:1-11:4[[@Bible:2 Chronicles 10:1-11:4]],2 Chronicles 10:1-11:4
,Rehoboam Fortifies Judah,2 Chronicles 11:5-17[[@Bible:2 Chronicles 11:5-17]],2 Chronicles 11:5-17
,Rehoboam's Family,2 Chronicles 11:18-23[[@Bible:2 Chronicles 11:18-23]],2 Chronicles 11:18-23
,Shishak Attacks Jerusalem,2 Chronicles 12:1-16[[@Bible:2 Chronicles 12:1-16]],2 Chronicles 12:1-16
,Abijah King of Judah,2 Chronicles 13:1-14:1[[@Bible:2 Chronicles 13:1-14:1]],2 Chronicles 13:1-14:1
,Asa King of Judah,2 Chronicles 14:2-15[[@Bible:2 Chronicles 14:2-15]],2 Chronicles 14:2-15
,Asa's Reform,2 Chronicles 15:1-19[[@Bible:2 Chronicles 15:1-19]],2 Chronicles 15:1-19
,Asa's Last Years,2 Chronicles 16:1-14[[@Bible:2 Chronicles 16:1-14]],2 Chronicles 16:1-14
,Jehoshaphat King of Judah,2 Chronicles 17:1-19[[@Bible:2 Chronicles 17:1-19]],2 Chronicles 17:1-19
,Micaiah Prophesies Against Ahab,2 Chronicles 18:1-27[[@Bible:2 Chronicles 18:1-27]],2 Chronicles 18:1-27
,Ahab Killed at Ramoth Gilead,2 Chronicles 18:28-19:3[[@Bible:2 Chronicles 18:28-19:3]],2 Chronicles 18:28-19:3
,Jehoshaphat Appoints Judges,2 Chronicles 19:4-11[[@Bible:2 Chronicles 19:4-11]],2 Chronicles 19:4-11
,Jehoshaphat Defeats Moab and Ammon,2 Chronicles 20:1-30[[@Bible:2 Chronicles 20:1-30]],2 Chronicles 20:1-30
,The End of Jehoshaphat's Reign,2 Chronicles 20:31-21:3[[@Bible:2 Chronicles 20:31-21:3]],2 Chronicles 20:31-21:3
,Jehoram King of Judah,2 Chronicles 21:4-20[[@Bible:2 Chronicles 21:4-20]],2 Chronicles 21:4-20
,Ahaziah King of Judah,2 Chronicles 22:1-9[[@Bible:2 Chronicles 22:1-9]],2 Chronicles 22:1-9
,Athaliah and Joash,2 Chronicles 22:10-23:21[[@Bible:2 Chronicles 22:10-23:21]],2 Chronicles 22:10-23:21
,Joash Repairs the Temple,2 Chronicles 24:1-16[[@Bible:2 Chronicles 24:1-16]],2 Chronicles 24:1-16
,The Wickedness of Joash,2 Chronicles 24:17-27[[@Bible:2 Chronicles 24:17-27]],2 Chronicles 24:17-27
,Amaziah King of Judah,2 Chronicles 25:1-28[[@Bible:2 Chronicles 25:1-28]],2 Chronicles 25:1-28
,Uzziah King of Judah,2 Chronicles 26:1-23[[@Bible:2 Chronicles 26:1-23]],2 Chronicles 26:1-23
,Jotham King of Judah,2 Chronicles 27:1-9[[@Bible:2 Chronicles 27:1-9]],2 Chronicles 27:1-9
,Ahaz King of Judah,2 Chronicles 28:1-27[[@Bible:2 Chronicles 28:1-27]],2 Chronicles 28:1-27
,Hezekiah Purifies the Temple,2 Chronicles 29:1-36[[@Bible:2 Chronicles 29:1-36]],2 Chronicles 29:1-36
,Hezekiah Celebrates the Passover,2 Chronicles 30:1-31:1[[@Bible:2 Chronicles 30:1-31:1]],2 Chronicles 30:1-31:1
,Contributions for Worship,2 Chronicles 31:2-21[[@Bible:2 Chronicles 31:2-21]],2 Chronicles 31:2-21
,Sennacherib Threatens Jerusalem,2 Chronicles 32:1-23[[@Bible:2 Chronicles 32:1-23]],2 Chronicles 32:1-23
,"Hezekiah's Pride, Success and Death",2 Chronicles 32:24-33[[@Bible:2 Chronicles 32:24-33]],2 Chronicles 32:24-33
,Manasseh King of Judah,2 Chronicles 33:1-20[[@Bible:2 Chronicles 33:1-20]],2 Chronicles 33:1-20
,Amon King of Judah,2 Chronicles 33:21-25[[@Bible:2 Chronicles 33:21-25]],2 Chronicles 33:21-25
,Josiah's Reforms,2 Chronicles 34:1-13[[@Bible:2 Chronicles 34:1-13]],2 Chronicles 34:1-13
,The Book of the Law Found,2 Chronicles 34:14-33[[@Bible:2 Chronicles 34:14-33]],2 Chronicles 34:14-33
,Josiah Celebrates the Passover,2 Chronicles 35:1-19[[@Bible:2 Chronicles 35:1-19]],2 Chronicles 35:1-19
,The Death of Josiah,2 Chronicles 35:20-36:1[[@Bible:2 Chronicles 35:20-36:1]],2 Chronicles 35:20-36:1
,Jehoahaz King of Judah,2 Chronicles 36:2-4[[@Bible:2 Chronicles 36:2-4]],2 Chronicles 36:2-4
,Jehoiakim King of Judah,2 Chronicles 36:5-8[[@Bible:2 Chronicles 36:5-8]],2 Chronicles 36:5-8
,Jehoiachin King of Judah,2 Chronicles 36:9-10[[@Bible:2 Chronicles 36:9-10]],2 Chronicles 36:9-10
,Zedekiah King of Judah,2 Chronicles 36:11-14[[@Bible:2 Chronicles 36:11-14]],2 Chronicles 36:11-14
,The Fall of Jerusalem,2 Chronicles 36:15-23[[@Bible:2 Chronicles 36:15-23]],2 Chronicles 36:15-23
Ezra,,,
,Cyrus Helps the Exiles to Return,Ezra 1:1-11[[@Bible:Ezra 1:1-11]],Ezra 1:1-11
,The List of the Exiles Who Returned,Ezra 2:1-70[[@Bible:Ezra 2:1-70]],Ezra 2:1-70
,Rebuilding the Altar,Ezra 3:1-6[[@Bible:Ezra 3:1-6]],Ezra 3:1-6
,Rebuilding the Temple,Ezra 3:7-13[[@Bible:Ezra 3:7-13]],Ezra 3:7-13
,Opposition to the Rebuilding,Ezra 4:1-5[[@Bible:Ezra 4:1-5]],Ezra 4:1-5
,Later Opposition Under Xerxes and Artaxerxes,Ezra 4:6-24[[@Bible:Ezra 4:6-24]],Ezra 4:6-24
,Tattenai's Letter to Darius,Ezra 5:1-17[[@Bible:Ezra 5:1-17]],Ezra 5:1-17
,The Decree of Darius,Ezra 6:1-12[[@Bible:Ezra 6:1-12]],Ezra 6:1-12
,Completion and Dedication of the Temple,Ezra 6:13-18[[@Bible:Ezra 6:13-18]],Ezra 6:13-18
,The Passover,Ezra 6:19-22[[@Bible:Ezra 6:19-22]],Ezra 6:19-22
,Ezra Comes to Jerusalem,Ezra 7:1-10[[@Bible:Ezra 7:1-10]],Ezra 7:1-10
,King Artaxerxes' Letter to Ezra,Ezra 7:11-28[[@Bible:Ezra 7:11-28]],Ezra 7:11-28
,List of the Family Heads Returning With Ezra,Ezra 8:1-14[[@Bible:Ezra 8:1-14]],Ezra 8:1-14
,The Return to Jerusalem,Ezra 8:15-36[[@Bible:Ezra 8:15-36]],Ezra 8:15-36
,Ezra's Prayer About Intermarriage,Ezra 9:1-15[[@Bible:Ezra 9:1-15]],Ezra 9:1-15
,The People's Confession of Sin,Ezra 10:1-17[[@Bible:Ezra 10:1-17]],Ezra 10:1-17
,Those Guilty of Intermarriage,Ezra 10:18-44[[@Bible:Ezra 10:18-44]],Ezra 10:18-44
Nehemiah,,,
,Nehemiah's Prayer,Nehemiah 1:1-11[[@Bible:Nehemiah 1:1-11]],Nehemiah 1:1-11
,Artaxerxes Sends Nehemiah to Jerusalem,Nehemiah 2:1-10[[@Bible:Nehemiah 2:1-10]],Nehemiah 2:1-10
,Nehemiah Inspects Jerusalem's Walls,Nehemiah 2:11-20[[@Bible:Nehemiah 2:11-20]],Nehemiah 2:11-20
,Builders of the Wall,Nehemiah 3:1-32[[@Bible:Nehemiah 3:1-32]],Nehemiah 3:1-32
,Opposition to the Rebuilding,Nehemiah 4:1-23[[@Bible:Nehemiah 4:1-23]],Nehemiah 4:1-23
,Nehemiah Helps the Poor,Nehemiah 5:1-19[[@Bible:Nehemiah 5:1-19]],Nehemiah 5:1-19
,Further Opposition to the Rebuilding,Nehemiah 6:1-14[[@Bible:Nehemiah 6:1-14]],Nehemiah 6:1-14
,The Completion of the Wall,Nehemiah 6:15-7:3[[@Bible:Nehemiah 6:15-7:3]],Nehemiah 6:15-7:3
,The List of the Exiles Who Returned,Nehemiah 7:4-72[[@Bible:Nehemiah 7:4-72]],Nehemiah 7:4-72
,Ezra Reads the Law,Nehemiah 7:73-8:18[[@Bible:Nehemiah 7:73-8:18]],Nehemiah 7:73-8:18
,The Israelites Confess Their Sins,Nehemiah 9:1-37[[@Bible:Nehemiah 9:1-37]],Nehemiah 9:1-37
,The Agreement of the People,Nehemiah 9:38-10:39[[@Bible:Nehemiah 9:38-10:39]],Nehemiah 9:38-10:39
,The New Residents of Jerusalem,Nehemiah 11:1-36[[@Bible:Nehemiah 11:1-36]],Nehemiah 11:1-36
,Priests and Levites,Nehemiah 12:1-26[[@Bible:Nehemiah 12:1-26]],Nehemiah 12:1-26
,Dedication of the Wall of Jerusalem,Nehemiah 12:27-47[[@Bible:Nehemiah 12:27-47]],Nehemiah 12:27-47
,Nehemiah's Final Reforms,Nehemiah 13:1-31[[@Bible:Nehemiah 13:1-31]],Nehemiah 13:1-31
Esther,,,
,Queen Vashti Deposed,Esther 1:1-22[[@Bible:Esther 1:1-22]],Esther 1:1-22
,Esther Made Queen,Esther 2:1-18[[@Bible:Esther 2:1-18]],Esther 2:1-18
,Mordecai Uncovers a Conspiracy,Esther 2:19-23[[@Bible:Esther 2:19-23]],Esther 2:19-23
,Haman's Plot to Destroy the Jews,Esther 3:1-15[[@Bible:Esther 3:1-15]],Esther 3:1-15
,Mordecai Persuades Esther to Help,Esther 4:1-17[[@Bible:Esther 4:1-17]],Esther 4:1-17
,Esther's Request to the King,Esther 5:1-8[[@Bible:Esther 5:1-8]],Esther 5:1-8
,Haman's Rage Against Mordecai,Esther 5:9-14[[@Bible:Esther 5:9-14]],Esther 5:9-14
,Mordecai Honored,Esther 6:1-14[[@Bible:Esther 6:1-14]],Esther 6:1-14
