Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,The Ark,Exodus 25:10-22[[@Bible:Exodus 25:10-22]],Exodus 25:10-22
,The Table,Exodus 25:23-30[[@Bible:Exodus 25:23-30]],Exodus 25:23-30
,The Lampstand,Exodus 25:31-40[[@Bible:Exodus 25:31-40]],Exodus 25:31-40
,The Tabernacle,Exodus 26:1-37[[@Bible:Exodus 26:1-37]],Exodus 26:1-37
,The Altar of Burnt Offering,Exodus 27:1-8[[@Bible:Exodus 27:1-8]],Exodus 27:1-8
,The Courtyard,Exodus 27:9-19[[@Bible:Exodus 27:9-19]],Exodus 27:9-19
,Oil for the Lampstand,Exodus 27:20-21[[@Bible:Exodus 27:20-21]],Exodus 27:20-21
,The Priestly Garments,Exodus 28:1-5[[@Bible:Exodus 28:1-5]],Exodus 28:1-5
,The Ephod,Exodus 28:6-14[[@Bible:Exodus 28:6-14]],Exodus 28:6-14
,The Breastpiece,Exodus 28:15-30[[@Bible:Exodus 28:15-30]],Exodus 28:15-30
,Other Priestly Garments,Exodus 28:31-43[[@Bible:Exodus 28:31-43]],Exodus 28:31-43
,Consecration of the Priests,Exodus 29:1-46[[@Bible:Exodus 29:1-46]],Exodus 29:1-46
,The Altar of Incense,Exodus 30:1-10[[@Bible:Exodus 30:1-10]],Exodus 30:1-10
,Atonement Money,Exodus 30:11-16[[@Bible:Exodus 30:11-16]],Exodus 30:11-16
,Basin for Washing,Exodus 30:17-21[[@Bible:Exodus 30:17-21]],Exodus 30:17-21
,Anointing Oil,Exodus 30:22-33[[@Bible:Exodus 30:22-33]],Exodus 30:22-33
,Incense,Exodus 30:34-38[[@Bible:Exodus 30:34-38]],Exodus 30:34-38
,Bezalel and Oholiab,Exodus 31:1-11[[@Bible:Exodus 31:1-11]],Exodus 31:1-11
,The Sabbath,Exodus 31:12-18[[@Bible:Exodus 31:12-18]],Exodus 31:12-18
,The Golden Calf,Exodus 32:1-33:6[[@Bible:Exodus 32:1-33:6]],Exodus 32:1-33:6
,The Tent of Meeting,Exodus 33:7-11[[@Bible:Exodus 33:7-11]],Exodus 33:7-11
